sample_idx,baseline,avg_kl,exact_match,num_masks
69,gibbs,16.18440055847168,0,1
70,ground_truth,8.149072527885437e-10,1,1
70,untouched,1.7107393741607666,0,1
70,random_token,2.3013508319854736,0,1
70,cond_argmax,8.149072527885437e-10,1,1
70,cond_sample,8.149072527885437e-10,1,1
70,cond_topk_rescore,8.149072527885437e-10,1,1
70,gibbs,8.149072527885437e-10,1,1
71,ground_truth,1.3969838619232178e-09,1,1
71,untouched,14.53685188293457,0,1
71,random_token,8.670221328735352,0,1
71,cond_argmax,17.833038330078125,0,1
71,cond_sample,17.833038330078125,0,1
71,cond_topk_rescore,13.845970153808594,0,1
71,gibbs,17.833038330078125,0,1
72,ground_truth,2.9777652343909722e-08,1,1
72,untouched,13.688697814941406,0,1
72,random_token,8.140174865722656,0,1
72,cond_argmax,9.116256713867188,0,1
72,cond_sample,9.116256713867188,0,1
72,cond_topk_rescore,9.116256713867188,0,1
72,gibbs,11.732307434082031,0,1
73,ground_truth,-7.885535069362959e-08,1,1
73,untouched,7.662089824676514,0,1
73,random_token,14.648397445678711,0,1
73,cond_argmax,-7.885535069362959e-08,1,1
73,cond_sample,-7.885535069362959e-08,1,1
73,cond_topk_rescore,-7.885535069362959e-08,1,1
73,gibbs,-7.885535069362959e-08,1,1
74,ground_truth,-1.1024212653865106e-09,1,1
74,untouched,10.933793067932129,0,1
74,random_token,16.3242244720459,0,1
74,cond_argmax,21.35723114013672,0,1
74,cond_sample,8.00244140625,0,1
74,cond_topk_rescore,8.729659080505371,0,1
74,gibbs,10.933793067932129,0,1
75,ground_truth,-3.213062882423401e-08,1,1
75,untouched,2.155351400375366,0,1
75,random_token,0.0765456035733223,0,1
75,cond_argmax,18.78282356262207,0,1
75,cond_sample,18.78282356262207,0,1
75,cond_topk_rescore,18.78282356262207,0,1
75,gibbs,18.78282356262207,0,1
76,ground_truth,-1.0943040251731873e-08,1,1
76,untouched,5.860716342926025,0,1
76,random_token,16.87910270690918,0,1
76,cond_argmax,12.91799545288086,0,1
76,cond_sample,13.011629104614258,0,1
76,cond_topk_rescore,1.6748520135879517,0,1
76,gibbs,5.860716342926025,0,1
77,ground_truth,-1.0640360414981842e-07,1,1
77,untouched,9.411271095275879,0,1
77,random_token,8.178566932678223,0,1
77,cond_argmax,14.686582565307617,0,1
77,cond_sample,14.686582565307617,0,1
77,cond_topk_rescore,14.686582565307617,0,1
77,gibbs,9.411271095275879,0,1
78,ground_truth,7.45053512218874e-08,1,1
78,untouched,8.620986938476562,0,1
78,random_token,13.3416109085083,0,1
78,cond_argmax,9.566608428955078,0,1
78,cond_sample,9.2841215133667,0,1
78,cond_topk_rescore,2.661642551422119,0,1
78,gibbs,2.661642551422119,0,1
79,ground_truth,1.3277542620926397e-08,1,1
79,untouched,10.756402015686035,0,1
79,random_token,8.936288833618164,0,1
79,cond_argmax,12.031462669372559,0,1
